"query","document_id"
"election",2
"election",4
"election",7
"election",8
"election",10
"election",13
"election",17
"election",19
"election",20
"election",22
"election",23
"election",24
"election",25
"election",26
"election",27
"election",31
"election",32
"election",33
"election",34
"election",35
"election",36
"election",37
"election",38
"election",39
"election",41
"election",42
"election",43
"election",44
"election",47
"election",50
"election",51
"election",52
"election",53
"election",54
"election",55
"election",56
"election",57
"election",58
"election",59
"election",60
"election",61
"election",62
"election",67
"election",68
"election",70
"election",72
"election",81
"election",85
"election",87
"election",90
"election",97
"election",100
"election",103
"election",105
"election",110
"election",111
"election",115
"election",117
"election",121
"election",122
"election",125
"election",141
"election",143
"election",148
"election",164
"election",181
"election",186
"election",188
"election",191
"election",192
"election",195
"election",196
"election",197
"election",200
"election",201
"election",202
"election",203
"election",204
"election",205
"election",207
"election",208
"election",209
"election",210
"election",211
"election",212
"election",213
"election",215
"election",217
"election",218
"election",219
"election",220
"election",222
"election",223
"election",224
"election",253
"election",256
"election",257
"election",314
"election",326
"election",328
"election",329
"election",330
"election",340
"election",341
"election",406
"election",460
"election",461
"election",462
"election",464
"election",470
"election",472
"election",474
"election",478
"election",485
"election",491
"election",495
"election",497
"election",499
"election",500
"election",501
"election",503
"election",508
"election",509
"election",510
"election",513
"election",516
"election",517
"election",518
"election",519
"election",520
"election",521
"election",523
"election",527
"election",540
"election",576
"election",579
"election",584
"election",591
"election",602
"election",603
"election",618
"election",621
"election",625
"election",631
"election",635
"election",639
"election",640
"election",644
"election",645
"election",653
"election",654
"election",655
"election",661
"election",665
"election",666
"election",667
"election",670
"election",676
"election",681
"election",686
"election",692
"election",699
"election",701
"election",702
"election",704
"election",712
"election",714
"election",715
"election",716
"election",718
"election",719
"korea election",2
"korea election",4
"korea election",7
"korea election",8
"korea election",10
"korea election",13
"korea election",17
"korea election",19
"korea election",20
"korea election",22
"korea election",23
"korea election",24
"korea election",25
"korea election",26
"korea election",27
"korea election",31
"korea election",32
"korea election",33
"korea election",34
"korea election",35
"korea election",36
"korea election",37
"korea election",38
"korea election",39
"korea election",41
"korea election",42
"korea election",43
"korea election",44
"korea election",47
"korea election",50
"korea election",51
"korea election",52
"korea election",53
"korea election",54
"korea election",55
"korea election",56
"korea election",57
"korea election",58
"korea election",59
"korea election",60
"korea election",61
"korea election",62
"korea election",67
"korea election",68
"korea election",70
"korea election",72
"korea election",81
"korea election",85
"korea election",87
"korea election",90
"korea election",97
"korea election",100
"korea election",103
"korea election",105
"korea election",110
"korea election",111
"korea election",115
"korea election",117
"korea election",121
"korea election",122
"korea election",125
"korea election",141
"korea election",143
"korea election",148
"korea election",164
"korea election",181
"korea election",186
"korea election",188
"korea election",191
"korea election",192
"korea election",195
"korea election",196
"korea election",197
"korea election",200
"korea election",201
"korea election",202
"korea election",203
"korea election",204
"korea election",205
"korea election",207
"korea election",208
"korea election",209
"korea election",210
"korea election",211
"korea election",212
"korea election",213
"korea election",215
"korea election",217
"korea election",218
"korea election",219
"korea election",220
"korea election",222
"korea election",223
"korea election",224
"korea election",253
"korea election",256
"korea election",257
"korea election",314
"korea election",326
"korea election",328
"korea election",329
"korea election",330
"korea election",340
"korea election",341
"korea election",406
"korea election",460
"korea election",461
"korea election",462
"korea election",464
"korea election",470
"korea election",474
"korea election",478
"korea election",485
"korea election",491
"korea election",495
"korea election",497
"korea election",499
"korea election",500
"korea election",501
"korea election",503
"korea election",508
"korea election",509
"korea election",510
"korea election",513
"korea election",516
"korea election",517
"korea election",518
"korea election",519
"korea election",520
"korea election",521
"korea election",523
"korea election",527
"korea election",540
"korea election",576
"korea election",579
"korea election",584
"korea election",591
"korea election",602
"korea election",603
"korea election",618
"korea election",621
"korea election",625
"korea election",631
"korea election",639
"korea election",640
"korea election",644
"korea election",645
"korea election",654
"korea election",661
"korea election",665
"korea election",666
"korea election",667
"korea election",670
"korea election",676
"korea election",681
"korea election",686
"korea election",692
"korea election",701
"korea election",702
"korea election",704
"korea election",715
"korea election",716
"korea election",719
"parties",19
"parties",20
"parties",27
"parties",37
"parties",38
"parties",39
"parties",41
"parties",42
"parties",44
"parties",50
"parties",51
"parties",53
"parties",54
"parties",55
"parties",56
"parties",57
"parties",58
"parties",59
"parties",60
"parties",61
"parties",62
"parties",68
"parties",71
"parties",72
"parties",81
"parties",111
"parties",117
"parties",121
"parties",314
"parties",383
"parties",406
"parties",472
"parties",634
"parties",643
"parties",645
"parties",662
"parties",666
"parties",669
"parties",683
"parties",704
"parties",715
"president parties",19
"president parties",20
"president parties",27
"president parties",37
"president parties",38
"president parties",39
"president parties",41
"president parties",42
"president parties",44
"president parties",50
"president parties",51
"president parties",53
"president parties",54
"president parties",55
"president parties",56
"president parties",57
"president parties",58
"president parties",59
"president parties",60
"president parties",61
"president parties",62
"president parties",68
"president parties",72
"president parties",81
"president parties",111
"president parties",117
"president parties",121
"president parties",314
"president parties",406
"president parties",472
"president parties",643
"president parties",645
"president parties",662
"president parties",666
"president parties",669
"president parties",683
"president parties",704
"president parties",715
